[ 00:00:00.919 -->  00:00:08.952] 1 SPEAKER_01
[ 00:00:08.952 -->  00:00:15.989] 2 SPEAKER_02
[ 00:00:16.394 -->  00:00:16.495] 2 SPEAKER_02
[ 00:00:16.782 -->  00:00:16.984] 2 SPEAKER_02
[ 00:00:21.962 -->  00:00:34.214] 0 SPEAKER_00
[ 00:00:27.497 -->  00:00:27.531] 2 SPEAKER_02
[ 00:00:24.257 -->  00:00:25.489] 0 SPEAKER_00
[ 00:00:28.307 -->  00:00:31.244] 1 SPEAKER_01
[ 00:00:31.463 -->  00:00:32.762] 1 SPEAKER_01
[ 00:00:33.083 -->  00:00:33.825] 1 SPEAKER_01
[ 00:00:34.585 -->  00:00:35.479] 1 SPEAKER_01
[ 00:00:35.867 -->  00:00:36.205] 1 SPEAKER_01
[ 00:00:36.812 -->  00:00:36.897] 1 SPEAKER_01
[ 00:00:36.897 -->  00:00:36.981] 0 SPEAKER_00
[ 00:00:37.065 -->  00:00:37.150] 0 SPEAKER_00
[ 00:00:38.804 -->  00:00:38.888] 0 SPEAKER_00
[ 00:00:48.962 -->  00:00:49.030] 0 SPEAKER_00
[ 00:00:49.080 -->  00:00:49.384] 0 SPEAKER_00
[ 00:00:49.384 -->  00:00:53.957] 1 SPEAKER_01
[ 00:00:56.759 -->  00:00:58.362] 0 SPEAKER_00
[ 00:00:58.750 -->  00:00:59.442] 0 SPEAKER_00
[ 00:00:59.459 -->  00:00:59.492] 0 SPEAKER_00
[ 00:00:59.948 -->  00:01:02.260] 0 SPEAKER_00
[ 00:01:02.260 -->  00:01:06.563] 1 SPEAKER_01
[ 00:01:03.492 -->  00:01:03.525] 0 SPEAKER_00
[ 00:01:03.745 -->  00:01:03.762] 0 SPEAKER_00
[ 00:01:03.779 -->  00:01:21.953] 0 SPEAKER_00
[ 00:01:08.723 -->  00:01:08.790] 1 SPEAKER_01
